OPENMRS_CONCEPT_UUID,OE2_PANEL_ID,OE2_PANEL_NAME,SAMPLE_TYPE
d1e2b1af-5333-4db9-ad68-2ce793b0811b,110,COMPREHENSIVE HEALTH & CARDIAC CHECK,2
d3f80a31-39b1-47f5-99ec-91a80f4a2fa7,277,ATTARWALA HUMAN RESOURCE HEALTH CHECK,4
d46913e1-fbfd-4a1b-b0bc-bd2de2e8ac7e,160,TATA AIG LIFE BLOOD PROFILE B,2
d50d780b-17b4-40f0-8c07-d82478413a12,78,AIZANT PROFILE,2
d510254e-7226-4943-8003-6c02e001e105,177,MAX NEW YORK CATEGORY 4,2
d58c3e79-3de8-465b-958c-97864695fe1b,230,Sanjeevani Routiens,2
d7672e35-377b-414b-8059-0882d48f8483,268,MDx Monsoon Basic,4
d8407ce5-8e25-4926-a16b-adcf3c06db6e,64,AEGON LEVEL 2,2
d8507887-1fbd-4adf-bd74-b3ea8807f7e6,169,URINE TOXICOLOGY SCREEN (5 DRUGS),38
d89cbf39-9c14-455f-a772-9a5af74a7940,236,Hepatitis Profile,2
d9291699-f78d-4379-984b-f19de867f08b,193,PREVENTIVE HEALTH CHECK FOR MEN,2
d95ac282-609d-4ec2-81a3-d2a8697c0d16,307,MDx Prime Advanced Female-X1,4
d96fe901-eb2f-4ca3-a58b-c08d76eb8d12,116,RELIANCE LEVEL 4   HIV 1&2,2
d9dbf357-59b5-47f0-8d13-2425c41a103c,154,BHARTI AXA LIFE BLOOD PROFILE,2
db01beb9-befb-452e-a92d-829ed63080f7,223,"Vitamin D3,B12",2
ddb33c18-0685-4a5d-aaf3-39bc59518c21,126,HSBC CATEGORY 5,2
de89b3f6-3745-41e9-9699-429951c76179,191,ASTER PRE EMPLOYEMENT CHECK UP,4
debfc837-a2c2-47a5-9078-802b181685ab,213,Sravya Compact Residency Profile,2
e00b54ec-9716-42fd-ac18-bd0f3c46a3d8,265,Rheumatoid Arthritis Panel,2
e3d332ad-841b-42b2-9e4a-0f99b01db988,304,MDx Cardiac Advanced-X1,2
e42e1148-dce7-46f7-a9ee-0299938429dd,282,Sequential Bio Chemical Test (SBT)-13 With Elisa Test For HIV,2
e431f8e5-8119-4e36-8208-b66d571d73a6,207,Diabetic Day Profile,3
e48466e4-867a-4567-89fc-171b046bb491,226,Post Policy Profile 3,2
e99839ee-296b-4220-babf-46803e6f9f6c,162,TATA AIG LIFE CATEGORY 2,2
ea8cd1c6-988e-4c1d-b06b-95b18e826fa0,348,TMInputs and Services Private Limited Health Checkup,4
eae8c0af-96f1-4ef3-ac65-5a356d681510,149,MAX NEW YORK CATEGORY 5,2
eb057b9b-f1d8-4970-9f45-f4af9ce344dd,350,Girik Elegance Health Checkup,4
ecc30479-a1d8-43ec-8ddd-40febcb3fa24,157,BHARTI AXA LIFE CATEGORY 8,2
ecfba9e7-d007-46ea-8d49-999e5660f027,298,MDx Fever Comprehensive,2
edcd0296-6fe0-4fc5-a357-b7953c3bce43,90,Lipid Profile,2
edea8fc4-5726-4d99-9be8-11075514bc15,340,Ratnadeep Health Checkup,4
edf8ad40-3cb2-4e45-942e-e768136f050d,67,AEGON LEVEL 4,2
ee6e2382-2ede-4c96-9061-eaf3f2d24a1a,214,NRDCS 1,2
ee8a6219-b633-46c5-9905-b39aa2dc8a2d,278,Care Health New Silver 22,2
f0fba48b-08da-414e-a020-a676acba24cc,267,Couple Plan Package (Wallet Points Only),4
f14dddd4-b811-475e-9d12-da51f8377761,208,FITCH RATINGS UNDER 40 PROFILE,2
f19617dc-ac37-4706-9b29-2d2081671b0f,115,RELIANCE LEVEL 4,2
f199f727-3301-45f1-b3c7-ad63bc8454cf,144,Pre-Study Serology,2
f2102bf5-bbf6-4ec2-a8f9-0be3ffd7f4e5,250,Covid Monitoring Profile,2
f35851f5-85cd-4080-abb3-62950ffa2646,290,MDx Thrombotic Profile - Advanced,3
f4211970-315e-43cc-89cb-612e9eda9ea4,133,SBI CATEGORY-5,2
f5c3d3e7-bd6d-404a-8fd0-41e3694e5e03,317,MDx Whole Body Female-A-X1,4
f7b0505a-6b19-490b-a718-8431d9a4d33a,306,MDx Diabetes Comprehensive-X1,2
f808aba6-cec9-4282-b8da-3edf61b8ddf1,170,CARDIAC CHECK UP,2
f8392e6a-4c40-4175-8d27-43fbac31b238,168,TATA AIG LIFE CATEGORY 9,2
f88695b3-ce14-468f-aa43-59568c344c26,331,Aurobindo Health Checkup,4
f934a061-49d8-4d3c-a2e4-cc649f5f70e5,174,GLUCOSE POST PRANDIAL PROFILE,3
fa981970-db7e-4972-b061-01b076e2626b,10,"Drugs of abuse panel, urine",38
fad8c973-d007-454a-9ad6-b503c1d44971,328,Agent Induction Package,4
fc078e5c-25bb-4cc3-a027-9c2712a6356b,186,COLLAGEN PROFILE,2
fc08db07-3a82-4cc7-a050-e09667e21a77,261,MDx Fever Advanced,2
fccb017b-d3e3-49c9-9ed7-f740d4241a7e,241,Health Camp Package,2
fcd4472a-90d7-4d0b-80a4-fa44fcb6aa48,355,CC Promotional Healthcheck,2
fd7864ae-181f-4579-afce-136d9f1baf6a,146,MAX NEW YORK CATEGORY 2,4
fed847f7-aa26-4442-90d3-7e1989885869,161,TATA AIG LIFE BLOOD PROFILE C,2
ff0b2d86-29d3-46a5-9909-4b72ba66ee20,245,Medplus camp profile,2
